s,Source,Context,Max Line Width,English,Francais,German
challenge_imalumberjackandimokay_offer,,Challenge Info,,"Hey Bastard,\nWe've been watching you and we know who you are. You seem like you can take care of yourself pretty well but let's see if you can handle this challenge. Do this and we might just induct you into our private club. You better dress warm.\n\nI'm crazy in the head, Crazy Jake\n\nChallenge: Kill some lumberjack zombies with a fireaxe",,
challenge_imalumberjackandimokay_subtitle,,Challenge Info,,Kill some Snow Zombies,,
challenge_yournothingspecial,,Challenge Info,,You're nothing Special,,
challenge_yournothingspecial_offer,,Challenge Info,,"Listen up Fucker,\nThe only reason you're not dead is because I like you. That's right we've been watching you. We could use someone with your talents so if you can handle this little tiny task you might just make it onto Team Crazy.\n\nI'm batshit crazy & loving it, Crazy Jake\n\nChallenge: Kill some special infected zombies",,
challenge_yournothingspecial_subtitle,,Challenge Info,,Kill some Special infected,,
challenge_killthewabbit,,Challenge Info,,Kill the Wabbit,,
challenge_killthewabbit_offer,,Challenge Info,,"Howdy Survivor,\nIf you've picked up this note then you know we've been observing you. You've got survival skills I'll give you that but let's see if you can pass this challenge and just maybe we'll let you join us.\n\nGood Luck Slick Willie\n\nChallenge: Kill some rabbits with a sawed off shotgun",,
challenge_killthewabbit_subtitle,,Challenge Info,,Kill Rabbits with Shotgun,,
challenge_nailsomechicks,,Challenge Info,,Nail Some Chicks,,
challenge_nailsomechicks_offer,,Challenge Info,,"Hello Friend,\nIf you're reading this note than you know we've been watching you. We're looking to add some new recruits and I think you've got what it takes. Do this little job and we might just make room for one more chicken in our coop. That is unless you're chicken ha ha.\n\nSlicker than greased goose shit...Willie\n\nChallenge: Kill some chickens with a Nailgun",,
challenge_nailsomechicks_subtitle,,Challenge Info,,Kill Chickens with Nailgun,,
challenge_thatlldopig,,Challenge Info,,That'll Do Pig,,
challenge_thatlldopig_offer,,Challenge Info,,"Greetings Traveler,\nIf you ‘all are holding this note then you should know my boys have been sticking to you like flies on pig shit. That's because we think you just might be Slick Willie material. Now if you can pull off this wee little task we might just call you kin.\n\nI aint no city slicker... Willie\n\nChallenge: Kill some pigs",,
challenge_thatlldopig_subtitle,,Challenge Info,,Kill Pigs,,
challenge_stagparty,,Challenge Info,,Stag Party,,
challenge_stagparty_offer,,Challenge Info,,"Well how do you do,\nFriend if you've reading this letter than you should know my crew has been watching you. Do this little task for us and we might let you join the Willies. If not don't let the door hit you where the good lord split you.\n\nSlick ‘as a whistle' Willie\n\nChallenge: Kill some Stags",,
challenge_stagparty_subtitle,,Challenge Info,,Kill Stags,,
challenge_dontfeedthebears,,Challenge Info,,Don't Feed the Bears,,
challenge_dontfeedthebears_offer,,Challenge Info,,"Howdy Friend,\nUnless you got shit for brains you probably know we've been following you. Now that we've got the pleasantries out of the way let me get right to the point. We want you to join the Willies but first you have to pass this initiation for us to consider it.\n\nSlicker than a minnow's dick...Willie\n\nChallenge: Kill some Bears",,
challenge_dontfeedthebears_subtitle,,Challenge Info,,Kill Bears,,
challenge_buythefarm,,Challenge Info,,Buy the Farm,,
challenge_buythefarm_offer,,Challenge Info,,"Well Survivor,\nI guess you found the note we left you. Now that the cat's out of the bag let's get down to business. We've been watching you and think you might make a good recruit. But before we open our doors to a stranger let's see if you can do this simple job.\n\nI'm slicker than cat shit on linoleum...Willie\n\nChallenge: Kill some Animals",,
challenge_buythefarm_subtitle,,Challenge Info,,Kill some Animals,,
treasure_taylor,,,,Taylor's Treasure Map,,
treasure_taylor_offer,,Challenge Info,,"Dear Survivor,\nIf you're reading this note than the worst has probably happened and the odds are I'm dead. But rather than let all my stashes of supplies go to waste I'd like you to have one of them. I've marked the location on this map for you.\n\nGood Luck Taylor",,
treasure_taylor_subtitle,,Challenge Info,,Taylor's Treasure Map,,
treasure_nickole,,,,Nickole's Treasure Map,,
treasure_nickole_offer,,Challenge Info,,"To whom it may concern,\nIf you've come to possess this note than quite possibly I've been eaten by the dead. Follow this map to one of my many valuable treasure locations I buried to keep safe from Crazy Jake. If you find it may you make good use of it.\n\nBest Wishes Nickole",,
treasure_nickole_subtitle,,Challenge Info,,Nickole's' Treasure Map,,
treasure_stephan,,,,Stephan's Treasure Map,,
treasure_stephan_offer,,Challenge Info,,"Dear Friend,\nIf you've got this note than I'm probably dead or even worse one of the monsters. I leave you this map to one of my many stockpiles of buried supplies. If you find it promise me you'll use it to make the world a better place again.\n\nYours Truly Stephan",,
treasure_stephan_subtitle,,Challenge Info,,Stephan's Treasure Map,,
treasure_jennifer,,,,Jennifer's Treasure Map,,
treasure_jennifer_offer,,Challenge Info,,"To whomever finds this note,\nFriend the end is near. The monsters are breaking down my door but in my final moments I can only think of how I want to be remembered. Not as a coward but as someone who thinks of others. I leave you this map to one of my many secret buried chests.\n\nGod Bless You Jennifer",,
treasure_jennifer_subtitle,,Challenge Info,,Jennifer's Treasure Map,,
treasure_claude,,,,Claude's Treasure Map,,
treasure_claude_offer,,Challenge Info,,"Hello Friend,\nI don't even know you but I have to share my thoughts in my darkest hour. I've been bitten by one of the monsters and I can feel myself turning. As I fight the urge to eat my own family I feel the need to do one last good deed. Follow this map to one of my many personal stashes. May it keep you alive.\n\nSincerely Claude",,
treasure_claude_subtitle,,Challenge Info,,Claude's Treasure Map,,
treasure_sarah,,,,Sarah's Treasure Map,,
treasure_sarah_offer,,Challenge Info,,"If you found this note,\nThis may be your lucky day. I've been bitten by one of the creatures and the fever has taken hold. I don't have long but the least I could do before I turn is help someone, anyone as God would want me to. If there is still a God. So I leave you with this map to one of my many buried supply chests.\n\nTo a new life Sarah",,
treasure_sarah_subtitle,,Challenge Info,,Sarah's Treasure Map,,
treasure_raphael,,,,Raphael's Treasure Map,,
treasure_raphael_offer,,Challenge Info,,"Dear Stranger,\nI've got the cold sweats and it won't be long. All I can think of in my final hour is if my son Joey is still alive. I have no reason to trust you but I have no choice. Crazy Jake has kidnapped him. In your hand is a map to one of my many secret supply caches. Promise me if you find it you'll help my son.\n\nI'm counting you Raphael",,
treasure_raphael_subtitle,,Challenge Info,,Raphael's Treasure Map,,
challenge_Profession,,Challenge Info,,Profession Quest,,
challenge_Doctor_offer,,Challenge Info,,"You profession could mean the difference between life and death so it’s important you know what your capable of. If you can complete these five quests you will receive 5 skill points. Let’s get started. First gather these ingredients and craft a Painkiller.",,
challenge_Doctor_subtitle,,Challenge Info,,"Doctors Quest-Painkillers",,
challenge_Doctor2_offer,,Challenge Info,,"Good job. Now let’s try something a little more complex. Gather the needed supplies and craft a Painkiller Shot",,
challenge_Doctor2_subtitle,,Challenge Info,,"Doctors Quest-Pain Killer Shot",,
challenge_Doctor3_offer,,Challenge Info,,"Not bad you show promise. Now let’s try something harder to craft. Gather the supplies and craft an Antibiotic.",,
challenge_Doctor3_subtitle,,Challenge Info,,"Doctors Quest-Antibiotics",,
challenge_Doctor4_offer,,Challenge Info,,"Great job now let’s see what you can really do. Gather the resources and craft a Super Pill.",,
challenge_Doctor4_subtitle,,Challenge Info,,"Doctors Quest-Super Pill",,
challenge_Doctor5_offer,,Challenge Info,,"Very good. But you can do more than just make things you can also share knowledge with others. Craft your profession book to share one of your recipes with a friend or use in trade. ",,
challenge_Doctor5_subtitle,,Challenge Info,,"Doctors Quest-Doctor Book",,
challenge_Engineer_offer,,Challenge Info,,"You profession could mean the difference between life and death so it’s important you know what you’re capable of. If you can complete these five quests you will receive 5 skill points. Let’s get started. First gather these ingredients and craft a Box Lunch.",,
challenge_Engineer_subtitle,,Challenge Info,,"Engineers Quest-Box Lunch",,
challenge_Engineer2_offer,,Challenge Info,,"Good job. Now let’s try something a little more complex. Gather the needed supplies and fix a Broken Circuit",,
challenge_Engineer2_subtitle,,Challenge Info,,"Engineers Quest-Circuit Board",,
challenge_Engineer3_offer,,Challenge Info,,"Very good. But you can do more than just make things you can also share knowledge with others. Craft your profession book to share one of your recipes with a friend or use in trade. ",,
challenge_Engineer3_subtitle,,Challenge Info,,"Engineers Quest-Engineer Book",,
challenge_Engineer4_offer,,Challenge Info,,"Not bad you show promise. Now let’s try something harder to craft. Gather the supplies and craft one of your engineering tools.",,
challenge_Engineer4_subtitle,,Challenge Info,,"Engineers Quest-Engineer Tools",,
challenge_Engineer5_offer,,Challenge Info,,"Great job now let’s see what you can really do. Gather the resources and craft a Shock Stick.",,
challenge_Engineer5_subtitle,,Challenge Info,,"Engineers Quest-Shock Stick",,
challenge_Farmer_offer,,Challenge Info,,"You profession could mean the difference between life and death so it’s important you know what you’re capable of. If you can complete these five quests you will receive 5 skill points. Let’s get started. First gather these ingredients and craft a Stone Hoe.",,
challenge_Farmer_subtitle,,Challenge Info,,"Farmers Quest-Stone Hoe",,
challenge_Farmer2_offer,,Challenge Info,,"Good job. Now let’s try something a little more complex. Gather the needed supplies and craft a Bear Trap",,
challenge_Farmer2_subtitle,,Challenge Info,,"Farmers Quest-Bear Trap",,
challenge_Farmer3_offer,,Challenge Info,,"Very good. But you can do more than just make things you can also share knowledge with others. Craft your profession book to share one of your recipes with a friend or use in trade. ",,
challenge_Farmer3_subtitle,,Challenge Info,,"Farmers Quest-Farmer Book",,
challenge_Farmer4_offer,,Challenge Info,,"Not bad you show promise. Now let’s try something harder to craft. Gather the supplies and craft a Herbal Antibiotic.",,
challenge_Farmer4_subtitle,,Challenge Info,,"Farmers Quest-Herbal Antibiotics",,
challenge_Farmer5_offer,,Challenge Info,,"Great job now let’s see what you can really do. Gather the resources and Plant the needed Crops.",,
challenge_Farmer5_subtitle,,Challenge Info,,"Farmers Quest-Planting Crops",,
challenge_Cop_subtitle,,Challenge Info,,"You profession could mean the difference between life and death so it’s important you know what you’re capable of. If you can complete these five quests you will receive 5 skill points. Let’s get started. First gather these ingredients and craft a Donut.",,
challenge_Cop_offer,,Challenge Info,,"Cops Quest-Donuts",,
challenge_Cop2_subtitle,,Challenge Info,,"Good job. Now let’s try something a little more complex. Gather the needed supplies and craft some Gun Oil",,
challenge_Cop2_offer,,Challenge Info,,"Cops Quest-Night Stick",,
challenge_Cop3_subtitle,,Challenge Info,,"Not bad you show promise. Now let’s try something harder to craft. Gather the supplies and craft a 9mm Shock Round.",,
challenge_Cop3_offer,,Challenge Info,,"Cops Quest-9mm Shock",,
challenge_Cop4_subtitle,,Challenge Info,,"Very good. But you can do more than just make things you can also share knowledge with others. Craft your profession book to share one of your recipes with a friend or use in trade. ",,
challenge_Cop4_offer,,Challenge Info,,"Cops Quest-Cop Book",,
challenge_Cop5_subtitle,,Challenge Info,,"Great job now let’s see what you can really do. Gather the resources and craft a Gun Oil.",,
challenge_Cop5_offer,,Challenge Info,,"Cops Quest-Gun Oil",,
challenge_Soldier_offer,,Challenge Info,,"You profession could mean the difference between life and death so it’s important you know what you’re capable of. If you can complete these five quests you will receive 5 skill points. Let’s get started. First gather these ingredients and craft a Grub.",,
challenge_Soldier_subtitle,,Challenge Info,,"Soldiers Quest-Grubs",,
challenge_Soldier2_offer,,Challenge Info,,"Good job. Now let’s try something a little more complex. Gather the needed supplies and craft a blunderbuss",,
challenge_Soldier2_subtitle,,Challenge Info,,"Soldiers Quest-Blunderbuss",,
challenge_Soldier3_offer,,Challenge Info,,"Not bad you show promise. Now let’s try something harder to craft. Gather the supplies and craft a Pipe Bomb.",,
challenge_Soldier3_subtitle,,Challenge Info,,"Soldiers Quest-Pipe Bomb",,
challenge_Soldier4_offer,,Challenge Info,,"Great job now let’s see what you can really do. Gather the resources and craft a Pressure Plate Mine.",,
challenge_Soldier4_subtitle,,Challenge Info,,"Soldiers Quest-Pressure Plate Mine",,
challenge_Soldier5_offer,,Challenge Info,,"Very good. But you can do more than just make things you can also share knowledge with others. Craft your profession book to share one of your recipes with a friend or use in trade. ",,
challenge_Soldier5_subtitle,,Challenge Info,,"Soldiers Quest-Soldier Book",,
challenge_Scientist_offer,,Challenge Info,,"You profession could mean the difference between life and death so it’s important you know what you’re capable of. If you can complete these five quests you will receive 5 skill points. Let’s get started. First gather these ingredients and craft a Purification Tablet.",,
challenge_Scientist_subtitle,,Challenge Info,,"Scientists Quest-Purify Water",,
challenge_Scientist2_offer,,Challenge Info,,"Good job. Now let’s try something a little more complex. Gather the needed supplies and craft a batch of Mixed Chemicals.",,
challenge_Scientist2_subtitle,,Challenge Info,,"Scientists Quest-Red Bull",,
challenge_Scientist3_offer,,Challenge Info,,"Not bad you show promise. Now let’s try something harder to craft. Gather the supplies and craft an Antibiotic.",,
challenge_Scientist3_subtitle,,Challenge Info,,"Scientists Quest-Mixed Chemicals",,
challenge_Scientist4_offer,,Challenge Info,,"Great job now let’s see what you can really do. Gather the resources and craft a Stimulant.",,
challenge_Scientist4_subtitle,,Challenge Info,,"Scientists Quest-Stimulant",,
challenge_Scientist5_offer,,Challenge Info,,"Very good. But you can do more than just make things you can also share knowledge with others. Craft your profession book to share one of your recipes with a friend or use in trade. ",,
challenge_Scientist5_subtitle,,Challenge Info,,"Scientists Quest-Incendiary Ammo Book",,
challenge_Hen,,Challenge Info,,"Raising a Chicken",,
challenge_Hen_subtitle,,Challenge Info,,"Raising a Chicken",,
challenge_Hen_offer,,Challenge Info,,"Man cannot live on vegetables alone. To survive in this world you will need some protein. Build a chicken coop and raise an egg to a full grown hen. Once you have a Hen in the Coop you can harvest eggs and feathers from it and even eat the poor little thing.,,
challenge_Clean,,Challenge Info,,"Keeping Clean",,
challenge_Clean_subtitle,,Challenge Info,,"Keeping Clean",,
challenge_Clean_offer,,Challenge Info,,"Learning to stay clean can keep you alive. Once you’re dirty craft some soap on the campfire and use it in the water to take a bath. Regular bathing helps prevent your scratches from infection and keeps away body odor.",,
challenge_Vorpal,,Challenge Info,,"Kill the Infected animals",,
challenge_Vorpal_subtitle,,Challenge Info,,"Kill the Infected animals",,
challenge_Vorpal_offer,,Challenge Info,,"The dead aren’t the only thing you have to worry about anymore. Even the animals are starting to become infected. Search out these infected animals and kill them but be careful they bite.",,
challenge_AntiVenom,,Challenge Info,,"Using AntiVenom",,
challenge_AntiVenom_subtitle,,Challenge Info,,"Using AntiVenom",,
challenge_AntiVenom_offer,,Challenge Info,,"Not everything that can kill you is infected. These giant hornets can attack in swarms and have deadly venom in their sting. Kill one and harvest its venom sack. Use it to craft and use anti-venom.",,
challenge_Plants,,Challenge Info,,"Learn to farm",,
challenge_Plants_subtitle,,Challenge Info,,"Learn to farm",,
challenge_Plants_offer,,Challenge Info,,"Staying alive can be as simple as staying feed. Learn to be more self-sustaining by planting your own crops.",,
challenge_KillemAll,,Challenge Info,,"Killem All"
challenge_KillemAll_subtitle,,Challenge Info,,"Killem All"
challenge_KillemAll_offer,,Challenge Info,,"Zombies that look the same can act very different. Get to know your enemy better by tracking down and killing all these types of zombies",,
challenge_Killer,,Challenge Info,,"Become a Killer",,
challenge_Killer_subtitle,,Challenge Info,,"Become a Killer",,
challenge_Killer_offer,,Challenge Info,,"Push back against the army of the dead and prove that you will not be breakfast.",,
challenge_Slayer,,Challenge Info,,"Become a Slayer",,
challenge_Slayer_subtitle,,Challenge Info,,"Become a Slayer",,
challenge_Slayer_offer,,Challenge Info,,"Lay waste to the hordes and prove that you will not go quietly into that dark night.",,
challenge_King,,Challenge Info,,"Become King of the Wastelands"
challenge_King_subtitle,,Challenge Info,,"Become King of the Wastelands"
challenge_King_offer,,Challenge Info,,"You have become death destroyer of worlds. Lay waste to all before you, let fall away the ways of the old world and impose your will upon all you see. It is good to be King",,
